제목,내용,작성자,created_at,이미지,URL
(예약중)(500/48 (관리비포함)) 어궁동 lee&park 6월말부터 거주할 입주자를 찾습니다!,"안녕하세요. 4년 넘게 거주한 정든 자취방을 떠나게 되어 다음 입주자를 찾기 위해 글을 올립니다.어궁동 lee&park 건물이고, 가장 꼭대기층인 5층에, 갑천뷰 큰방입니다. 저도 정말정말 만족하며 지낸 방이고, 제가 이 방의 두번째 입주자로 4년 넘게 살았었어요. 본가가 대전으로 이사를 오지 않았다면 졸업 전까지 쭉 사려고 했을 만큼 너무 좋은 방입니다.이 집의 장점을 말하자면,1. 평수 7평에, 층고가 높아 탁 트인 느낌이 듭니다. 다른 집에 비해 확실히 높은데, 다른 원룸들이랑 느낌이 다르게 개방감을 줘서 정말 좋더라구요. 만족감이 정말 좋았어요. 사진 보시면 아실 수 있듯이 방도 넓은 편이에요!2. 엘베 있고 중문 있는 1.5룸 구조입니다. 방에 침대 3개 들어갈 정도의 크기로 다른 원룸들에 비해 큰 편입니다!3. 뷰 정말 좋습니다 (갑천뷰)! 해도 잘 들고 블라인드 열고 창문 탁 열면 참 좋아요. 심지어 창이 크고 앞에서 말씀드린 것처럼 층고가 높아서 뷰가 참 좋습니다.4. 방음이 잘 되는 편이에요! 다른 건물에서도 자취를 해봤는데, 이 건물이 확실히 잘 되는 것 같습니다.5. 시세에 비해 가격이 저렴합니다. 학교에서 도보 7-8분 거리로 가까운데도, 보증금 500만원에 관리비 포함 48만원 (수도, 가스, 전기세 별도) 이에요. 4년 넘게 살면서 거의 월세를 올리지 않으셔서 가격이 저렴합니다. 수도, 가스, 전기세는 쓴 만큼 내면 되는데, 저는 딱히 아끼고 살지 않았는데도 보통 합쳐서 5만원 이내로 나왔던 것 같아요. (건물이 기본적으로 단열 등이 우수한 것 같긴 해요.)6. 4년 넘게 살면서 날파리, 심지어 모기조차 거의 본 적 없습니다. 벌레가 다른 집에 비해 진짜 거의 없는 것 같아요. 1,2층에 식당이 없어서 그런 것 같기도 한데, 만족도가 아주 높았어요. 7. 대부분 카이스트 학생들이고 번화가랑 떨어져 있어서 조용해요.8. 주인 분도 정말 친절하시고 너무 좋습니다. 요구 사항도 잘 들어 주시고, 늘 편의를 봐주십니다. 9. 방을 꾸미기 좋은 구조인데, 저는 솜씨가 부족해서 그저 깔끔하게만 해두고 살았었어요. 자취에대한 로망이 있으시다면 펼칠만 한 방인 것 같아요. 저는 블라인드만 흰색으로 바꿔서 빔 프로젝터를 쏴서 봤어요. 이사오시면 첨부한 사진에 있는 파란색 블라인드로 바꿔주실 거에요.10. 부엌 쪽에 짐 보관도 할 수 있는 보일러실 있어서 활용도가 높아요. 필요하시면 선반은 두고 가겠습니다단점이라고 할 만한 것은..그나마 부엌이 조금 좁은 편이라는 점과 옷장이 약간 작긴 하다는 점인데요. 요리 잘 하고 지냈고, 옷장은 침대 밑 수납에 잘 넣었더니 저는 부족하진 않았는데, 옷이 많으시다면 서랍 등을 추가 구매하셔서 쓰셔도 좋을 것 같아요.제가 7월 2일까지 월세를 내고 6월 말에 이사갈 예정이라, 다음으로 들어오실 분은 6월말부터 2월 2일까지 거주하시고, 2월 3일부터 1년 단위로 계약하시면서 사시면 될 것 같습니다. 보증금 500만원에 관리비 포함 48만원 (수도, 가스, 전기세 별도) 이에요. 앞에서 말씀드린 것처럼 시세에 비해 정말 저렴한 편이에요. 부동산에 매물이 안 올라오고 대부분 지인 소개로 방이 거래될 정도로 매우 인기있어서 자취 생각이 있으시면 좋은 기회라고 생각합니다!정말 만족하면서 산 방이에요. 저 다음으로도 여기서 행복한 자취 생활 하셨으면 좋겠어요.편하게 쪽지나 댓글로 연락 주세요:)사진은 저희 집과 구조가 같은 다른 방도 섞여 있습니다.",익명,2025-04-22T02:23:00,"https://cf-ea.everytime.kr/attach_thumbnail/225/75314625/everytime-1745256446399.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=clUBermRipHPwBVoq3sgfFV1HQN11sBcovadSk9OqlNVs3ATEisBwsVtU70vvolNtzn5u5lAP2jSL2RiYF8txlVOu9UEyPus0fM-WcMC8CqsIDkBCEc6wFGKQQxk9jWZgOs8x8FyFBFCQ~tUE~i5p1UrShqm1RlV1bs9cj0for7QVbtItHRoO2aDC0IUnQ7l7u4tlbZytgnAnmfVtEc16nUatx12C8yNpYFKxUBsBiTBP89c0UdeRExtUaNWT3keb4dctQOjKnedsfgKm6rHXGoBbbXk2wmw1rqbN1i2vJLblXHHh3K9IE4qp8YdgWte2jQvzExkc59qKaI9EMekMQ__, https://cf-ea.everytime.kr/attach_thumbnail/548/75314626/everytime-1745256447273.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=CXFB-sp2JXMZ4VgEkOO-L7Ya-0GHVJUbvnHxr5O5r3lbdyEJFRj87VlD4l1DdfJUHlw7o47AAF62omv3pz9NzExjDR51etLk4XM1gycoULnvAZWxD9tBwkH-kow9VNPUrOR2cUs~jH5AgHAM6c~sM0Wz5piPwPoaCrp5XiJR8bRIrvbG8Rv1APDBhJNPr9OYFqqLBY7u4YR9G21G5QJb6cLHD9-ZxC2oD8O-1K31W8nXZkxqIdApu9nuxw25zW4xLxRldUO2aMTghiZu8KhO4pALvXzvtpq90E1cAENnTpRcUoJkVBElEW9QNBfDNWzWnyxS9gmVBaR6BaiEQ4pHtA__, https://cf-ea.everytime.kr/attach_thumbnail/465/75314627/everytime-1745256447607.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=AahCHk9Pt~u0PM8pFAeB9KBBNSVl8fJbWOrXCo-EX3TobtNz2cXYQHYMTSZml1mqGXuHu7ZFM-nZXUoot51fUwYNx-ZkyYwCyjhKcJe5jMLQktn7H7f6OlAstpWftiG6oVdtN3UDV7xf3h4lUkUs4n9T7Lr6uCAccE5G97FWJ-XMrOEHjg8KrgOnAotSmRDidd9CeKmmuoR-kDr~30CvjT8McTimVbVx0KwGOmu3fyu51JMyM4ShH9l48Ju1sTSJJa2K5UOQ3weZK2G1nfwv-5g4kr1R6K1jEYdj99M3aYpdodCKRRnksjyN58zNapjsCleM5MCkhKFaLopZ4SP6Ow__, https://cf-ea.everytime.kr/attach_thumbnail/817/75314628/everytime-1745256447933.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=p8V9CdHKohsrt1PXdybNpRu0IhyLDgoHo8N-g8CAZr4bDMLSf8B94AYXHLM4rXP8p-~E-SKJxbkBnMSL6L4Guvo1KysJ12qhfs8EEuSMMkNLuZjwhCYuVB~k68Y7a6DKN4EHSPRBwkZxmFuMcMPk86agtzflNFUi4eTrvHnfqVs9~7~GCfTHl84vX4nWk~rgdbFR~G5d3nv~WvkL9hfiq2EfaATlhSnuT~ViApnJrQth5bSA6yCb1Rqe0CBHSfmqKueyghLn94XvNkUwBSPBcR9nU8IHXCqzXi1hbiYiOaDroZQAwgiLcf33t6B36Eg2uwt9BLEjOmQI~-fE1GAg3Q__, https://cf-ea.everytime.kr/attach_thumbnail/279/75314629/everytime-1745256448433.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=XKXlTvlecMSzosigOgWS6ghUI90~8Dl5klCr6xKWvs7ixIkLv8~PXDvoi1tN5KC2qwMPbsgT6kGEYooF8YHxNVExRiKzx0UnjZyzLbrD1Ye75bFCBfZ6bqCKF8O8~k7DH00dcI0JM4MpbXJ1Vq--E7XlBmNDN5oABneu3~kB3ZK-3Km1sSRg7H6aFafu5hPsWxHjlJvIwYQKUvQWPuS2STl~uENyWDkNrNGYBorr9222u5uu6DUdbYHRPe~GUIGiDRDx8yGRuhkj6xpzkvyGKIL9K4vrs6PmAEjrdfixV~6TOypAJ1vnU3yeD6Q0nwsf~8qMjzqlfSB1Jhrg5jaBSg__, https://cf-ea.everytime.kr/attach_thumbnail/264/75314630/everytime-1745256448915.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=CeyxLbrpQvyhC9kNKB-1WgCw0rYrC7pJFqFtwQCnmA2jWxxugsetNkxS65g5ZtvU~mvlgKVw4Py2FpFnfRiNVU9ziDA1Aa39968Clv9nJbeMdQDmPTTS1kvYhmLQG9WbUyCLDteqmCP1zV4DAjdJV2JHxCE9AT8VsYTMUCLpYsDMyMboL2UAjD1125eIfckE5mbTCtBRHIXzSKiqED7QM3p8tbJUAJ~bD5H-4JOJh9JoJh5I2oWKE9TI97rbKfpWUCs1nSuPvvkwLlA2N7g02~2sw0Yh5H5D5~EgauVBqQaMXWGBASJpYMPGqBs4PzloWPItkv9tgv-YNeg~TY~24A__, https://cf-ea.everytime.kr/attach_thumbnail/652/75314631/everytime-1745256449225.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=IvWwcc-7qIb-1lxoa~zsLiK3b0MYETYiQXxnXC3ZtjOb3On7he0QsbovGfeu5RJLvLngYKj9X0uDhxCTIyvJCKC-wCV7ynOIfojwFHrW1SHNW~FO4~pv6jO-UVsxXNYkHkR~ApTlbMXvx5aPgoxOpGryR7DKrp5vaZia4~b3RC1Qc2dLqwwYxsb~nuRSd5qKocmaocALw13RFM8mI50eU5GPwT-HSiKno3gw8nW5n7fdoPSNeS93DKD21xOCOitDTGs9Gg4qi6PLlt7qvoAIOPlRa2BOCj3mzgn2pNn~MF4gKxEupK9oXZg25MAeB-i7Wgf9eE1PhBpS4De4TViRnw__, https://cf-ea.everytime.kr/attach_thumbnail/283/75314632/everytime-1745256449555.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=g4E666Pm6XqAv2UH0xeAgVuk6Rk4Yn5Zb6GZ8E0HN42HXCjCGcHo2wIERj8YDj0Jy3VJ0k4y8MJeVr7zjASKQs2-R2JyaD6b6xAsQDGTdw5cmvVdC9esPnfVz40qBzfOkSghpbnI5l0p6jo4HH-pmbt3d572i3tDx5LvC8B7lptnX5EePKug82YWHqkkYfRmOj-70Ze4IEgxfwpI4TBfV5VwQ538LOXb-fLfvoGVfGYBEr6cq6qSL41V1xFKa3VJDs6-NbiVy5h5S0wGEB-fNPscstK~4RVXtGyJSTyvetDnIVa1ZDEx1cnfiKKFZGVwVsQeLWyROHP0dkLzzGUuTw__, https://cf-ea.everytime.kr/attach_thumbnail/52/75314633/everytime-1745256450002.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=eccEe2PaK3ZXdhESRuEm8nt4VXqt9wu4dqyFVxncRpbTTefTVah1t46DwCBOhU4TSfjeqnZHajHbBucQf5IO~pZuhIy6q6ZqUluZG-hzWYDZwS48h4IJuZCBmFR5mhRUwryk2lMuq2vYfwq4jSXOGhiM1iAasCVTNnWfjViTbYT0hFVDrATxuKB99uo5rMv5nsSGrl6OvW6POzHxALO8ls2dq3~WQADcAjG1GdLUX7EXrCm~-UfOhmCUtn0GhZhlkqhetCxSz~jJiI4L7-z74wFGA1t0c1chgu92w5JTBjEygp6Qx9mdettEBJp1PSfKjJj5wyTmFoqy2RwofQEh-Q__, https://cf-ea.everytime.kr/attach_thumbnail/771/75314634/everytime-1745256450289.jpg?Expires=1746351261&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=rOnukOMdCRFrcfROR3sUmOgkycrMubSt6TYPwXxg-6SSgr9BA-rvaWwIN5atEGf1m1wEZD8FP-gcETGrGfuZEmYMTu94D-F6EGkZGn8n~cQPifQl0RD9Z3cX~d0gFuGTKKLDio0x66HY8FRiCImjN6MGhXvCkBuD2eAmLmx05wgfahjS8oLqjdvB9O88fg3NbS~75rRJYDtgsQqIIfaApCrmohYl5o0fjFG30jH2L-pek0203CMMzBJwuMB5OoSzlZET2E8dTj7I8bk-aOiX~oL-xUdOK6o8XAHdxrvVwfBjUJi5-qWB96jhPj14pg5dg53WfD3b~wJJL-64w03VJg__",https://everytime.kr/420883/v/377740499
희망관 냉장고 삽니다,다른 기숙사도 괜찮습니다 쪽지 주세요!,익명,2025-04-21T21:17:00,이미지 없음,https://everytime.kr/420883/v/377695811
4/25 콜드플레이 티켓 구합니다,2매 구합니다! 스탠딩이면 좋겠으나 구역 크게 상관없습니다!,익명,2025-04-21T19:27:00,이미지 없음,https://everytime.kr/420883/v/377679834
경제개 영어 렉노,구힙니다쪽지 주세요,익명,2025-04-21T12:01:00,이미지 없음,https://everytime.kr/420883/v/377626172
4/25 콜드플레이 티켓 삽니다,가격 제시해주세요 고맙습니댜 ㅠㅠ,익명,2025-04-21T11:20:00,이미지 없음,https://everytime.kr/420883/v/377621765
냉장고 삽니다,미르 나래관 냉장고 삽니다! (북측 다 좋습니다!),익명,2025-04-21T01:28:00,이미지 없음,https://everytime.kr/420883/v/377591617
버즈 3 미개봉 팝니다,실버 모델 9만에 팔아요 25년 2월 제조입니다,익명,2025-04-19T22:45:00,이미지 없음,https://everytime.kr/420883/v/377461746
회기역 근처 (걸어서 3분) 쪽에서 오피스텔 단기임대 합니다.,"인턴 등의 이유로 풀옵션 오피스텔 단기임대 필요하신 분 계실까요? 제 지인이 여름방학 (5월~8월 말)에 해외인턴을 가게 되어 잠시 방이 비어 해당 기간 동안 단기임대 한다고 합니다. AI 대학원 홍릉캠으로 출퇴근 하시는 분이라 홍릉캠까지 거리는 가깝습니다. (걸어서 20분 / 버스정류장 3개)여름방학 때 AI 대학원에서 인턴하는 분, 또는 코옵 가시는 분들이 필요하실까해서 글 올립니다!자세한 사항은 아래 오픈채팅방으로 문의 바랍니다!https://open.kakao.com/o/sVtW4Hph",익명,2025-04-19T20:05:00,이미지 없음,https://everytime.kr/420883/v/377444331
ㄹㅇㅇ 일병,구해요 쪽지 부탁드립니다,익명,2025-04-18T07:12:00,이미지 없음,https://everytime.kr/420883/v/377288803
특강 사회과학의 수학적 기초 필기 구합니다.,"중간 전 마지막 수업 두 개를 불가피하게 결석해버려서해당 수업 필기 내용을 구하고 싶습니다.3/28 금, 4/4 금 수업 필기 공유해주실 분 계실까요?사례하겠습니다.꼭 부탁드립니다.",익명,2025-04-17T16:16:00,이미지 없음,https://everytime.kr/420883/v/377216766
(완료)콜드플레이 내한 4/25 티켓,"원래 중간끝나고 가려고했는데 몇몇과목이 중간기간이후에 중간고사를 봐서 못가게됐습니다..4/25 고양종합운동장 FLOOR 좌석표 137,200원 구매금액 그대로 양도하려고 합니다..실물티켓입니다!",익명,2025-04-17T12:46:00,https://cf-ea.everytime.kr/attach/696/75227119/everytime-1744861599733.jpg?Expires=1746351284&Key-Pair-Id=APKAICU6XZKH23IGASFA&Signature=j1cRxnlKjprAUq7c-SR0nom1ooyCwH-jsZwgFT6abuoBHzuDo37mJFOWgS3dA-Pugay7EBQWeSo0JHUyYusXeIr04MFWohCf~Y5hoPGJlBGoXXyXx73PjMsCS3NRA9Dfrrv5Ayfr36KZ0GpKKQlUkg7MUnoypNPRjYjyGuvEnrHLSl8eSgfSfHtER~iivuK12GBQAYqyesgS84L5r7IvbkD-FLqjT55geDb3fvpLFLoh0KDLaP6BVBQPWRHq2K3EvgifUmYefduvk7iR-C7LrTtSAGJxuKE1EKA3Nt3g~q4YnrEFSKdrVJ-uhMJjOmtqOrL2O3GREwZ-jqfAvFVQSg__,https://everytime.kr/420883/v/377196042
"알고개 ㅊㅅㅎ 교수님 23, 24 중간 구합니다!!",쪽지 부탁드려요!!,익명,2025-04-16T20:37:00,이미지 없음,https://everytime.kr/420883/v/377130608
